"","Price","Open","High","Low"
"1",1819.5,1795.2,1821.9,1785.2
"2",1795.2,1793,1800.4,1781.3
"3",1791,1805.1,1805.3,1784
"4",1808.5,1807.6,1812.2,1802.6
"5",1806.3,1781.2,1809.1,1778
"6",1784,1782.8,1791,1780
"7",1783.1,1789.5,1795,1774.6
"8",1784.4,1787.8,1795.7,1778.8
"9",1787.8,1789.1,1797.6,1782.1
"10",1789.8,1780.9,1791.3,1772
"11",1778.2,1754.4,1781.9,1753
"12",1751.8,1752.9,1759.6,1742.6
"13",1753.3,1730.4,1756.7,1724.6
"14",1731.7,1732,1739.4,1718.5
"15",1726.5,1765,1765.7,1677.9
"16",1763.1,1806.7,1807,1759.5
"17",1808.9,1814.9,1817.9,1799.7
"18",1814.5,1813.7,1835.9,1808.3
"19",1814.1,1816.8,1818.2,1809.5
"20",1822.2,1817,1823.2,1808.2
"21",1817.2,1832.5,1835.5,1813.1
"22",1835.8,1811.5,1837.5,1810.9
"23",1804.6,1802.4,1813.9,1795.6
"24",1804,1801.5,1809.5,1796.9
"25",1799.2,1802.3,1812,1796
"26",1801.8,1807.7,1810.7,1789.1
"27",1805.4,1803.9,1808.4,1791.9
"28",1803.4,1810.6,1814.4,1794.3
"29",1811.4,1813.5,1825.9,1805.2
"30",1809.2,1811.6,1818,1795
"31",1815,1830.7,1832.7,1809.5
"32",1829,1828.7,1835,1820.6
"33",1825,1808.3,1831.1,1804.9
"34",1809.9,1806.7,1818,1798.7
"35",1805.9,1808.5,1811,1791
"36",1810.6,1803.2,1813,1796.6
"37",1800.2,1803.8,1819.5,1793.5
"38",1802.1,1797,1810.2,1794.1
"39",1794.2,1787.5,1815.7,1784.7
"40",1791.3,1786.5,1794.65,1784.75
"41",1786.4,1788,1788,1785.8
"42",1783.3,1777.5,1795.9,1774.4
"43",1776.8,1770.8,1783.4,1765.9
"44",1771.6,1761.9,1774.7,1753.2
"45",1763.6,1778.8,1779.2,1750.1
"46",1780.7,1782,1786.1,1770.4
"47",1777.8,1775.7,1791,1773.6
"48",1776.7,1778.2,1788.6,1772.7
"49",1783.4,1779.1,1795.6,1773.1
"50",1777.4,1783.2,1790.1,1771.2
"51",1782.9,1764.3,1786.9,1764.1
"52",1769,1773.9,1797.9,1761.2
"53",1774.8,1812.3,1826.4,1767.9
"54",1861.4,1861,1866,1804.4
"55",1856.4,1867.8,1870.9,1853
"56",1865.9,1879.6,1879.7,1845.7
"57",1879.6,1901.9,1906.2,1876.1
"58",1896.4,1891.4,1903,1871.8
"59",1895.5,1894.4,1901.7,1889.3
"60",1894.4,1901.6,1906.9,1885.7
"61",1898.8,1894.3,1902.9,1883.7
"62",1892,1872.7,1899,1855.6
"63",1873.3,1910.5,1912.3,1866.7
"64",1909.9,1903,1911.8,1896.4
"65",1905,1906.8,1919.2,1894.5
